id,completion_notes,wo_type,time_type,work_order_id,tech_name,work_date,plant,hours,status,car_flag,day_name,is_weekend,created_at
1,"After LOTO was performed on inv 19, we then removed the old AC contactor from inverter 19. we then installed the new contactor. After contactor replacement we removed LOTO and restored inverter to service",Corrective,Work,WO-1057728,,2024-11-14,MS6 - Golden Triangle II (PV/BESS),14.0,Completed,Not C.A.R. Format,Thursday,Weekday,2024-11-14 08:00:00
2,"Took 4A8 offline, applied LOTO and performed LDL. Opened inverter and removed panels. Cleaned modules and screens, checked for corrosion. Reinstalled panels and removed LOTO. Brought inverter back online.",Preventive,Work,WO-1058810,,2024-12-09,Escalante,12.0,Completed,Not C.A.R. Format,Monday,Weekday,2024-12-09 08:00:00
3,"Completed block inspection  on 2A1, all steps completed and no issues found.",Preventive,Work,WO-1055815,,2024-10-01,Escalante,16.0,Completed,Not C.A.R. Format,Tuesday,Weekday,2024-10-01 08:00:00
4,all steps of inspection sheet are completed,Preventive,Work,WO-1054251,,2024-09-13,Escalante,7.0,Completed,Not C.A.R. Format,Friday,Weekday,2024-09-13 08:00:00
5,Annual PM completed.,Preventive,Work,WO-1064723,,2025-06-05,MS6 - Golden Triangle II (PV/BESS),5.5,Completed,Not C.A.R. Format,Thursday,Weekday,2025-06-05 08:00:00
6,Annual PM completed.,Preventive,Work,WO-1064722,,2025-06-05,MS6 - Golden Triangle II (PV/BESS),4.5,Completed,Not C.A.R. Format,Thursday,Weekday,2025-06-05 08:00:00
7,Annual PM completed.,Preventive,Work,WO-1064721,,2025-06-05,MS6 - Golden Triangle II (PV/BESS),4.5,Completed,Not C.A.R. Format,Thursday,Weekday,2025-06-05 08:00:00
8,Monthly MET Station PM is complete. All equipment was in correct working condition. See inspection form for details.,Preventive,Work,WO-1053005,,2024-07-03,MS6 - Golden Triangle II (PV/BESS),2.75,Completed,Not C.A.R. Format,Wednesday,Weekday,2024-07-03 08:00:00
9,Inspected all enclosers and cleaned all sensors at Met. no issues found and all POAs were leveled,Preventive,Work,WO-1053004,,2024-07-03,MS6 - Golden Triangle II (PV/BESS),2.75,Completed,Not C.A.R. Format,Wednesday,Weekday,2024-07-03 08:00:00
10,Inspected all enclosers and cleaned all sensors at Met 1. no issues found and all POAs were leveled,Preventive,Work,WO-1053000,,2024-07-30,MS6 - Golden Triangle II (PV/BESS),5.0,Completed,Not C.A.R. Format,Tuesday,Weekday,2024-07-30 08:00:00
